,CVE_SUN,P_TOTAL_1990,P_TOTAL_2000,P_TOTAL_2010,P_TOTAL_2020,CVEGEO,CVE_ENT_x,CVE_MUN_x,NOMGEO,CVE_ENT_y,NOM_ENT,CVE_MUN_y,NOM_MUN,CVE_LOC,NOM_LOC,NOM_SUN,POB_2018,mts_built_up_1975,mts_built_up_1980,mts_built_up_1985,mts_built_up_1990,mts_built_up_1995,mts_built_up_2000,mts_built_up_2005,mts_built_up_2010,mts_built_up_2015,mts_built_up_2020,density_1990,density_2000,density_2010,density_2020,built_up_parsed_1990,built_up_parsed_2000,built_up_parsed_2010,built_up_parsed_2020,poblation_change,surface_change
20,M11.01,480224.0,577900,690442,767104,11007,11,007,Celaya,11,Guanajuato,11007,Celaya,,,Celaya,510787,25351171,26972649,29229037,32127056,35523459,40744472,43327171,47129948,51996791,59238245,0.00031738795212779303,0.0003819436295034226,0.00045632449116041196,0.0005069916697812658,0.021233300525869022,0.026928692711335134,0.031148958984993202,0.039151531927172474,1.5973878856533619,1.843874054317333
21,M11.02,119170.0,141196,171709,194500,11015,11,015,Guanajuato,11,Guanajuato,11015,Guanajuato,,,Guanajuato,187490,4452236,4657639,4902491,5203799,5670864,6383550,7177527,8344035,10080941,13974000,0.00011692435027134221,0.00013853529043309922,0.00016847330083697156,0.0001908348252729383,0.0051057381641156354,0.006263257834812676,0.008186799286870343,0.013710672742231568,1.6321221784006041,2.685345840606065
22,M11.03,983050.0,1269179,1609504,1924771,11020,11,020,León,11,Guanajuato,11020,León,,,León,1565633,39361890,41215123,43444368,46038306,51771335,60594580,67669427,79000374,93159945,106417833,0.0005557447183497147,0.0007175011707343193,0.0009098960858173431,0.0010881250366539838,0.026026697931201853,0.03425575280567546,0.044661045316262776,0.060160875467139996,1.9579583947917196,2.311506270452262
23,M11.04,94901.0,100063,108669,108755,11021,11,021,Moroleón,11,Guanajuato,11021,Moroleón,,,Moroleón-Uriangato,51494,3267732,3560770,3982259,4544375,5100603,6050372,6400377,6911621,7695938,9520695,0.0003419792766577525,0.0003605807352947249,0.0003915927757886777,0.00039190267998138973,0.01637582402041679,0.021802740119390936,0.024906282864380055,0.03430817788410112,1.145983709339206,2.095050474487691
24,M11.05,114034.0,145017,182365,214713,11025,11,025,Purísima del Rincón,11,Guanajuato,11025,Purísima del Rincón,,,San Francisco del Rincón,78569,7449195,7977910,8616274,9442184,10495660,12115417,13682618,16119558,19031418,22256118,0.00015845629694017494,0.0002015088202937137,0.0002534058490581318,0.00029835511237802565,0.013120415943207892,0.016835015115720255,0.022398981610680782,0.03092605751393069,1.8828858059876878,2.357094290897106
25,M12.01,653973.0,791558,863431,852622,12001,12,001,Acapulco de Juárez,12,Guerrero,12001,Acapulco de Juárez,,,Acapulco,857883,30653681,32072386,33910765,36057195,37837587,40267865,41951124,44151601,46504256,48182482,0.0001837826931803939,0.00022244750325852325,0.00024264560548438647,0.00023960800740222273,0.010132969412545522,0.01131627250410112,0.01240769900287347,0.01354047690971317,1.3037571887524408,1.3362792640969439
26,M12.02,169161.0,233011,287875,336480,12075,12,075,Eduardo Neri,12,Guerrero,12075,Eduardo Neri,,,Chilpancingo,51091,10818078,10940450,11097261,11286755,12249924,13516113,14330386,15421344,16749491,18268127,4.904877383958108e-05,6.756228587638183e-05,8.347027842747088e-05,9.75634538785077e-05,0.0032726307681898367,0.003919040261805154,0.004471468093463509,0.005296901943685275,1.9891109652934187,1.6185455429837894
27,M13.01,276512.0,375022,512196,665929,13022,13,022,Epazoyucan,13,Hidalgo,13022,Epazoyucan,,,Pachuca,15748,19479312,20108877,20899104,21861525,24230699,27963558,31794742,37814152,45818162,56678716,0.0002321784696239478,0.00031489423256608084,0.0004300749458522869,0.0005591597330249896,0.018356438122561318,0.023480124195986076,0.031751359584710044,0.04759134338159054,2.4083186263163987,2.5926240735721775
28,M13.02,140438.0,169901,205812,256795,13010,13,010,Atitalaquia,13,Hidalgo,13010,Atitalaquia,,,Tula,29387,14041342,14583175,15374324,16390446,18232306,21216015,22789094,25005024,27924944,31949484,0.0002362538160866092,0.0002858183654490308,0.0003462301542062491,0.00043199702859596977,0.02757306010382873,0.03569094195232588,0.0420650560484858,0.05374747231517155,1.8285293154274485,1.9492748397450563
29,M13.03,147137.0,193638,239579,268351,13016,13,016,Cuautepec de Hinojosa,13,Hidalgo,13016,Cuautepec de Hinojosa,,,Tulancingo,62321,4657109,5096849,5674069,6384177,7211761,8522112,10262757,13078092,17396262,25175604,0.000217474639720106,0.00028620506253438554,0.0003541077819277495,0.0003966340012609348,0.009436080611840578,0.012596037956832012,0.019329966941873222,0.03721059563288676,1.823817258745251,3.9434376584483797
30,M14.01,3058220.0,3772833,4521755,5268642,14002,14,002,Acatlán de Juárez,14,Jalisco,14002,Acatlán de Juárez,,,Guadalajara,24866,171211007,173838650,177272550,181452105,188132822,197880810,209072754,225998078,247281072,269715636,0.0008529771310891538,0.0010522919438164964,0.0012611759805991841,0.0014694924295491566,0.050609340058265236,0.05519151846871642,0.06303378834881167,0.0752271809762432,1.7227805717051095,1.4864288072050749
31,M14.02,121050.0,146184,164256,184603,14047,14,047,Jamay,14,Jalisco,14047,Jamay,,,Ocotlán,25043,7199905,7457721,7789525,8200459,8972916,10268092,11203940,12703304,14464732,16158642,9.709391185670492e-05,0.00011725383239042174,0.00013174933982598036,0.00014806961925223708,0.006577568305084862,0.008236011727257636,0.010189289375174944,0.012960807617282528,1.5250144568360182,1.9704558000960677
32,M14.03,151288.0,244536,379886,479471,14067,14,067,Puerto Vallarta,14,Jalisco,14067,Puerto Vallarta,,,Puerto Vallarta,297079,20637239,20894868,21184813,21499988,23548707,26344262,26670857,27112967,27622964,28260385,0.0001036535487222318,0.00016754153792990638,0.00026027531601907454,0.00032850504110965316,0.014730514341424297,0.018049523060442597,0.018576194053320574,0.019362336692312205,3.169259954523822,1.3144372452672997
33,M15.01,92830.0,127413,157944,183281,15006,15,006,Almoloya del Río,15,México,15006,Almoloya del Río,,,Tianguistenco,13364,3155134,3506494,4002525,4626512,5150898,6010722,6917108,8347084,10107338,12383509,0.00030375224964561734,0.00041691247855323753,0.0005168140182917956,0.0005997200912129525,0.015138569729747326,0.019667891085795586,0.02731278189142452,0.04052050756497629,1.9743725088872133,2.6766404150686305
34,M15.02,1156444.0,1605571,2014091,2353924,15005,15,005,Almoloya de Juárez,15,México,15005,Almoloya de Juárez,,,Toluca,177051,52833158,60360087,71002259,84903550,93590017,106533523,116597438,131563694,149287308,163618718,0.0004763950065126898,0.0006614120588645762,0.0008297011312801571,0.0009696947187329234,0.03497586329748824,0.0438862914100508,0.05419742491635006,0.06740243386381697,2.035484640847287,1.9271128003481597
35,M16.01,219004.0,229372,249512,261450,11023,11,023,Pénjamo,11,Guanajuato,11023,Pénjamo,,,La Piedad-Pénjamo,159281,13393396,13617728,13901925,14231128,15099812,16362632,18066491,20661465,24394859,31171044,0.00011804744852718007,0.0001236360037422894,0.0001344918584907753,0.00014092667447823432,0.007670856925278584,0.008819779359231747,0.011136934604316051,0.016801803675405312,1.193813811619879,2.190342466176961
36,M16.02,542985.0,679109,829625,988704,16022,16,022,Charo,16,Michoacán de Ocampo,16022,Charo,,,Morelia,23250,17718507,20045732,23562002,28084874,31768443,37953505,41536209,47301222,54444781,60801640,0.0003049810787032201,0.0003814385210955461,0.00046597958952670696,0.0005553302806489839,0.015774570508879655,0.02131753344101229,0.02656791202250612,0.034150758776255064,1.8208679797784468,2.1649247919004373
37,M16.03,185445.0,216048,250113,273641,16043,16,043,Jacona,16,Michoacán de Ocampo,16043,Jacona,,,Zamora,67639,6720930,7197036,7805737,8519515,9320787,10600172,11536827,12889347,14891503,18863872,0.00040660316520511387,0.0004737027185215802,0.0005483929869176664,0.0005999800303588264,0.01867972587566365,0.02324173467561068,0.028260936059893976,0.041360565468058566,1.4755911456226913,2.214195526388533
38,M17.01,279697.0,372256,434147,483455,17002,17,002,Atlatlahucan,17,Morelos,17002,Atlatlahucan,,,Cuautla,23371,5979393,7357366,9630110,12744364,16752336,24243934,27349881,31825527,37562590,45226349,0.00028400239566290483,0.00037798616288301374,0.0004408298554144776,0.0004908968569387933,0.012940538894589789,0.024617122587276052,0.03231541958345803,0.045922521382376714,1.7284954790362428,3.548733306738571
39,M17.02,587495.0,798782,924964,1028589,17007,17,007,Cuernavaca,17,Morelos,17007,Cuernavaca,,,Cuernavaca,397179,15837096,18404846,22293183,27359124,33935065,44726390,49680943,56739227,65448081,74908141,0.0004911407914521979,0.0006677749149827139,0.0007732619869527242,0.0008598915999949357,0.022871993488963856,0.037390879213269335,0.047433508123755797,0.06262256471451302,1.7508046876994698,2.737958313285177
40,M18.01,268185.0,342840,429351,491153,18008,18,008,Xalisco,18,Nayarit,18008,Xalisco,,,Tepic,58908,18168175,18671485,19248864,19880923,20981947,22532220,23666453,25214274,26999584,28610505,0.0001247652028379928,0.00015949625124812148,0.0001997429558092177,0.00022849452306985358,0.0092490161295431,0.010482454271082567,0.011730201204477238,0.013310198033530613,1.8313962376717565,1.439093396217067
41,M19.01,2704299.0,3426352,4226031,5341177,19001,19,001,Abasolo,19,Nuevo León,19001,Abasolo,,,Monterrey,2997,94604263,103024753,114166990,128434549,136592742,150697672,167589111,197570130,238252461,292101201,0.00035168458183413215,0.0004455850371340382,0.0005495804809501758,0.0006946012995408734,0.016702461768510198,0.019597702680323886,0.025693301129780816,0.037986734723835194,1.9750689550230947,2.274319513513455
42,M20.01,366327.0,508593,619367,713925,20045,20,045,Magdalena Apasco,20,Oaxaca,20045,Magdalena Apasco,,,Oaxaca,8627,42985263,43199904,43431814,43677773,45642338,48030796,48916194,50005737,51069112,51763670,0.0005745942643394269,0.0007977425106071409,0.0009714946638416436,0.001119811562261382,0.06850982276741677,0.07533766250715095,0.0784354133445415,0.08119278099391762,1.9488735474043681,1.185126128110973
43,M20.02,129654.0,152196,168618,179870,20079,20,079,Salina Cruz,20,Oaxaca,20079,Salina Cruz,,,Tehuantepec,88767,14394210,14498715,14618548,14756119,15157068,15715489,16049028,16476970,16971352,17468300,7.52954655812099e-05,8.838654171562638e-05,9.79234795330067e-05,0.00010445798351066858,0.008569491494876652,0.009126637520565372,0.009568861180662596,0.010144567706451392,1.3873077575701482,1.1838004288254926
44,M21.01,1776884.0,2235439,2687849,3152260,21001,21,001,Acajete,21,Puebla,21001,Acajete,,,Puebla-Tlaxcala,68027,83502455,92168074,103257519,116754893,131400455,153478786,162454176,174988310,189213689,199920880,0.0007387983227944086,0.0009294577383268745,0.0011175621667619431,0.0013106564080783566,0.04854471036175723,0.06381388412598794,0.07275718051185562,0.08312372154602227,1.7740381476787455,1.7123126480018271
45,M21.02,164636.0,240507,296899,357621,21149,21,149,Santiago Miahuatlán,21,Puebla,21149,Santiago Miahuatlán,,,Tehuacán,25745,10042376,10598319,11326557,12196745,13603168,15466584,16933163,19150170,21836222,24693353,0.0002531009880474968,0.00036974027146152304,0.00045643377056241494,0.0005497839381820127,0.01875050542082756,0.023777349377533497,0.02944026183992281,0.03796200127861233,2.1721919871717,2.024585493916615
46,M21.03,76282.0,102727,122500,138806,21054,21,054,Chignautla,21,Puebla,21054,Chignautla,,,Teziutlán,34695,3653173,3658139,3663387,3668710,3958394,4346211,4877913,5626075,6463210,7153480,0.0003150807634665144,0.0004243111296062587,0.0005059829779587323,0.0005733344754166514,0.015153508661771271,0.01795190844585306,0.02323835251199326,0.029547258066679447,1.8196429039616162,1.949862485723865
47,M22.01,628052.0,873298,1161458,1594212,11004,11,004,Apaseo el Alto,11,Guanajuato,11004,Apaseo el Alto,,,Querétaro,69580,31327405,34341975,39008623,44955767,55185777,73308781,80143489,90784529,105974956,130377204,0.00025744322100420424,0.00035797139411470637,0.00047609033739419833,0.0006534794447650106,0.01842770576193454,0.030049818659174412,0.0372132587160133,0.05344259287970139,2.5383439587804832,2.9001218909244724
48,M23.01,187431.0,431128,677379,934189,23003,23,003,Isla Mujeres,23,Quintana Roo,23003,Isla Mujeres,,,Cancún,21200,26729103,27252324,27814109,28436417,28591676,28792851,30299324,32438055,34750993,35921670,0.00010329674108097592,0.00023760273054488845,0.00037331627733240704,0.000514849087150449,0.01567184299352648,0.015868280459102917,0.017877220782610434,0.01979710637613981,4.984175509920984,1.2632277125490177
49,M23.02,172563.0,208164,244553,233648,23004,23,004,Othón P. Blanco,23,Quintana Roo,23004,Othón P. Blanco,,,Chetumal,258539,11585894,12145451,13049133,14153346,14875265,15913852,16758917,17935259,19353747,20870734,1.7237232225766565e-05,2.079339840547783e-05,2.4428277513185853e-05,2.3338982488053095e-05,0.0014137706911309161,0.001589626759678956,0.0017915440993276066,0.002084767236778463,1.353986659944484,1.474614836661239
50,M24.01,121212.0,128935,135452,146049,24024,24,024,Rioverde,24,San Luis Potosí,24024,Rioverde,,,Rioverde,99724,4736148,5007492,5399386,5902504,6939733,8509756,9963959,12045538,14523493,17083005,3.367159077693221e-05,3.581696991076588e-05,3.762733321714865e-05,4.057108340246983e-05,0.0016396619084513536,0.002363932792492027,0.0033461408624887506,0.004745503362705729,1.204905454905455,2.894196259756876
51,M24.02,677855.0,872790,1065039,1271366,24028,24,028,San Luis Potosí,24,San Luis Potosí,24028,San Luis Potosí,,,San Luis Potosí,848151,38189608,39579525,41312432,43428212,46118004,50216918,55499047,63487471,72990775,80396032,0.0002808646908684301,0.0003616347058634326,0.0004412917947021441,0.000526782008793374,0.01799418952187215,0.020807044501309723,0.026305609483493402,0.03331155877691898,1.8755722093958147,1.8512397424973426
52,M25.01,601123.0,745537,858638,1003530,25006,25,006,Culiacán,25,Sinaloa,25006,Culiacán,,,Culiacán,966609,44196193,45295701,46612193,48120936,50144616,52977419,55162212,58246728,61874718,65610063,9.49232699377925e-05,0.0001177276695445225,0.0001355874366025693,0.0001584673171392093,0.007598771961124823,0.0083656586827397,0.009197734714754179,0.010360478172993832,1.6694253921410427,1.3634411225916303
53,M25.02,314345.0,380509,438434,501441,25012,25,012,Mazatlán,25,Sinaloa,25012,Mazatlán,,,Mazatlán,492420,21350944,21380259,21412448,21446813,23209205,25787686,26615331,27775081,29004172,29715832,0.00012355174775339226,0.00014955718075966066,0.00017232431555937197,0.00019708890532761381,0.008429563791026336,0.010135722457222747,0.010916858233921448,0.011679660817083718,1.5951931794684184,1.385559336951369
54,M26.01,175109.0,180316,203430,208294,26025,26,025,Empalme,26,Sonora,26025,Empalme,,,Guaymas,60383,11857756,12217468,12631076,13091175,13716009,14582314,15551505,16818683,18476078,21172997,2.0418070535337137e-05,2.1025217473972505e-05,2.3720357543036817e-05,2.4287509974287524e-05,0.0015264580035317555,0.0017003278861762346,0.0019610931237427865,0.0024688151162446338,1.1895105334391722,1.6173488628790005
55,M26.02,448966.0,609829,784342,936263,26030,26,030,Hermosillo,26,Sonora,26030,Hermosillo,,,Hermosillo,907233,33683328,34895074,36465255,38383000,41501964,45656439,50035560,56564536,64282202,71453184,2.638540543521148e-05,3.583920700264515e-05,4.6095209146939064e-05,5.502349587493798e-05,0.0022557410067125844,0.0026831957291710315,0.0033242566600023508,0.004199251679362727,2.0853761754787667,1.861584138811453
56,M26.03,107936.0,159787,220292,264782,26043,26,043,Nogales,26,Sonora,26043,Nogales,,,Nogales,256387,2341604,3064954,4285877,6039424,6947917,8471502,9693071,11505193,13705463,16488956,6.125592865263436e-05,9.06824513750601e-05,0.00012502029938802744,0.00015026930125724348,0.0034274989405481734,0.004807753873523656,0.006529436717525092,0.009357826047773007,2.4531388971242216,2.730219967996948
57,M27.01,437567.0,600580,755425,833907,27004,27,004,Centro,27,Tabasco,27004,Centro,,,Villahermosa,712445,25164403,26154221,27446141,28987333,32030517,36714081,40161047,45273478,51417397,56762278,0.00019315617120315475,0.00026511536130738994,0.0003334689330574362,0.0003681134163671145,0.012795942691452641,0.01620677819671614,0.019985171796616887,0.025056698259350144,1.9057812860659054,1.9581752484783612
58,M28.01,207923.0,263063,321953,349688,28041,28,041,Victoria,28,Tamaulipas,28041,Victoria,,,Ciudad Victoria,365089,11521886,12032594,12651072,13379383,14953225,17342192,18669625,20566197,22751866,24386394,0.00014142099993333656,0.00017892504679839805,0.00021897969532729667,0.00023784394523303624,0.009100127077577201,0.011795473005275559,0.013988313676534038,0.01658666056303689,1.6818149026322244,1.8226844989787645
59,M28.02,303293.0,418141,489193,541979,28022,28,022,Matamoros,28,Tamaulipas,28022,Matamoros,,,Matamoros,542609,18532440,18604980,18685747,18789797,21085069,24855871,26593652,29143420,32257877,35686107,6.518491026850234e-05,8.986848877020518e-05,0.00010513926074449283,0.000116484233010365,0.00403837619532391,0.00534212039440564,0.0062636170884830065,0.007669796805818708,1.7869815656807113,1.8992279160865868
60,M28.03,219468.0,310915,384033,425058,28027,28,027,Nuevo Laredo,28,Tamaulipas,28027,Nuevo Laredo,,,Nuevo Laredo,428927,12272518,12696120,13247406,13926895,15090783,17318530,18977671,21689257,25051542,28265603,0.0001786088563108812,0.00025303084075991775,0.0003125362007929932,0.00034592342959242596,0.011334075072045719,0.014094277235340394,0.017651290333910975,0.023003294442777135,1.936765268740773,2.029569620507658
61,M28.04,376676.0,524692,727150,837251,28032,28,032,Reynosa,28,Tamaulipas,28032,Reynosa,,,Reynosa,711130,19904424,21950431,24931480,28664137,31285653,35688063,39535847,45832440,53634849,60543946,7.929267662852641e-05,0.00011045097931796765,0.00015306966679701648,0.0001762466225613269,0.006033981846405874,0.007512562623999082,0.009648018042074194,0.01274488295509394,2.222735188862577,2.11218450428143
62,M28.05,648598.0,746417,859419,927379,28003,28,003,Altamira,28,Tamaulipas,28003,Altamira,,,Tampico,263616,37139158,37775030,38531441,39383741,41809357,45655926,47631287,50492280,54053184,58600037,0.00012221451578872626,0.00014064642849881387,0.0001619392550464715,0.00017474487346188727,0.00742102941461985,0.008602889446122124,0.009514197625137276,0.0110419322094062,1.4298209368514858,1.487924598122865
63,M29.01,303779.0,378079,463353,528184,29001,29,001,Amaxac de Guerrero,29,Tlaxcala,29001,Amaxac de Guerrero,,,Tlaxcala-Apizaco,12025,11023789,13194098,16393486,20645028,22997228,26397294,29454572,33775659,38817222,44012921,0.00042678680912321,0.0005311727604821074,0.0006509763623149287,0.0007420590758081814,0.029004722592342873,0.03708622674953587,0.0474522785664698,0.06183486716916548,1.7387113658284477,2.131889624949891
